
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.cpu0.lsq0.loadToUse::min_value               2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu0.lsq0.loadToUse::max_value            5526                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu0.lsq0.loadToUse::total            54749664                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu0.mmu.dtb.rdAccesses               55039599                       # TLB accesses on read requests (Count)
system.cpu0.mmu.dtb.wrAccesses               31868888                       # TLB accesses on write requests (Count)
system.cpu0.mmu.dtb.rdMisses                    78200                       # TLB misses on read requests (Count)
system.cpu0.mmu.dtb.wrMisses                   830950                       # TLB misses on write requests (Count)
system.cpu0.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.mmu.itb.rdAccesses                      0                       # TLB accesses on read requests (Count)
system.cpu0.mmu.itb.wrAccesses               32000210                       # TLB accesses on write requests (Count)
system.cpu0.mmu.itb.rdMisses                        0                       # TLB misses on read requests (Count)
system.cpu0.mmu.itb.wrMisses                     5228                       # TLB misses on write requests (Count)
system.cpu0.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.power_state.pwrStateResidencyTicks::ON 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.rename.squashCycles                 58809                       # Number of cycles rename is squashing (Cycle)
system.cpu0.rename.idleCycles                32532564                       # Number of cycles rename is idle (Cycle)
system.cpu0.rename.blockCycles              244575983                       # Number of cycles rename is blocking (Cycle)
system.cpu0.rename.serializeStallCycles         77493                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu0.rename.runCycles                 46149661                       # Number of cycles rename is running (Cycle)
system.cpu0.rename.unblockCycles            231587428                       # Number of cycles rename is unblocking (Cycle)
system.cpu0.rename.renamedInsts             385634160                       # Number of instructions processed by rename (Count)
system.cpu0.rename.ROBFullEvents              7921988                       # Number of times rename has blocked due to ROB full (Count)
system.cpu0.rename.IQFullEvents              15347489                       # Number of times rename has blocked due to IQ full (Count)
system.cpu0.rename.LQFullEvents              11124798                       # Number of times rename has blocked due to LQ full (Count)
system.cpu0.rename.SQFullEvents             197490345                       # Number of times rename has blocked due to SQ full (Count)
system.cpu0.rename.fullRegistersEvents             43                       # Number of times there has been no free registers (Count)
system.cpu0.rename.renamedOperands          402319952                       # Number of destination operands rename has renamed (Count)
system.cpu0.rename.lookups                  953951077                       # Number of register rename lookups that rename has made (Count)
system.cpu0.rename.intLookups               603160495                       # Number of integer rename lookups (Count)
system.cpu0.rename.fpLookups                  4747863                       # Number of floating rename lookups (Count)
system.cpu0.rename.committedMaps            397387861                       # Number of HB maps that are committed (Count)
system.cpu0.rename.undoneMaps                 4932091                       # Number of HB maps that are undone due to squashing (Count)
system.cpu0.rename.serializing                   1152                       # count of serializing insts renamed (Count)
system.cpu0.rename.tempSerializing               1106                       # count of temporary serializing insts renamed (Count)
system.cpu0.rename.skidInsts                 90246208                       # count of insts added to the skid buffer (Count)
system.cpu0.rob.reads                       902041938                       # The number of ROB reads (Count)
system.cpu0.rob.writes                      771394780                       # The number of ROB writes (Count)
system.cpu0.thread_0.numInsts               199694523                       # Number of Instructions committed (Count)
system.cpu0.thread_0.numOps                 380692980                       # Number of Ops committed (Count)
system.cpu0.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu0.workload.numSyscalls                  578                       # Number of system calls (Count)
system.cpu1.numCycles                       559517588                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                      385411572                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    2067                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                     392367172                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                 24675                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             4720659                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          5520320                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                336                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples          555326368                       # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::mean              0.706552                       # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::stdev             1.579516                       # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::0                424726388     76.48%     76.48% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::1                 37719849      6.79%     83.27% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::2                 26348123      4.74%     88.02% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::3                 23176967      4.17%     92.19% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::4                 14209257      2.56%     94.75% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::5                  9968283      1.80%     96.55% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::6                 11124321      2.00%     98.55% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::7                  5429633      0.98%     99.53% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::8                  2623547      0.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu1.numIssuedDist::total            555326368                       # Number of insts issued each cycle (Count)
system.cpu1.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntAlu                4622174     73.47%     73.47% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntMult                     0      0.00%     73.47% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntDiv                      0      0.00%     73.47% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatAdd                 7384      0.12%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCmp                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCvt                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMult                   0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMultAcc                0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatDiv                    0      0.00%     73.59% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMisc                   0      0.00%     73.59% # attempts to use FU when none available (Count)
